name,author
The Whispering Library,Ellie Chandler
Chronicles of the Sapphire Key,Lucas Finnegan
Ocean of Lost Pages,Samantha Park
Shadows in the Archive,George Henson
Journey for the Last Chapter,Aria Douglas
The Mapmaker’s Oath,Henry Porter
Lost in Everwood,Casey Thorne
Echoes from the Tower,Monica Reyes
Writing on Stone Hill,Benjamin Pollock
Mysteries in the Deep Vault,Ava York
The Golden Quill,Robert Vance
Inkbound Hearts,Natalie Moon
The Jade Manuscript,Julian Rhodes
Through the Phantom Door,Jessie Hart
Spellbound Scrolls,Derek Olsen
Secrets of the Clockwork Tome,Camille Sinclair
Fire at Silvercross Abbey,Jonathan Pierce
The Starlit Ledger,Hannah Rowan
Labyrinth of Letters,Francis Vega
Beneath the Written Veil,Sophie DeLuca
Memoirs of the Silent Castle,Isaac Turner
Moonlight and Margins,Nina Shields
The Portrait of Windmere,Albert Lin
Puzzle of the Forgotten Shelf,Kate Barrister
Serenades in September,Nathan Caldwell
The Harvest of Paper Trees,Olivia Wells
Treasure of the Old Librarian,David March
Notes from Nowhere,Emily Carson
Song of the Phoenix Feather,Eric Ramirez
The Lantern’s Secret,Paige Dalton
Keeper of the Midnight Lore,Harvey Summers
The Gilded Bookmark,Jasmine Kerr
Curse of the Forgotten Index,Paul Medina
A Tale for Every Season,Stella Moore
Fog and Folios,Leon Grant
Legend of the Hidden Desk,Rachel Kim
Dancers in the Shadowlight,Tyler Wessex
Letters by Candlelight,Holly Peterson
The Violet Window,Tom Masters
Return to Bookend Bay,Melanie Quinn
Threads of the Scholar’s Dream,Nico Esposito
The Watcher of Ivy Bridge,Susan Blake
Winter at Willow House,Dirk Farnsworth
The Distant Chronicle,Rebecca Mayer
Beyond the Curtain Page,Ian McAllister
River Run Requiem,Janet Fields
Stories Beneath Blue Sky,Peter Monroe
Moon over Mandalay,Chloe Steele
A Library for the Forgotten Child,Mason Lee
Enigma of Ember Street,Hayley Evans
Promise of the Sapphire Lake,Marshall Tate
A Last Letter for Emily,Julia Frost
Wings of the Sun Queen,Darren Keane
The Emperor’s Diary,Alexa Reed
Phantom at Pinecrest Hall,Gavin Lamb
The Navigator’s Lexicon,Owen Morse
The Bookcase Maze,Lila Harrington
A Candle for Memories,Gavin Bishop
Roses and Runestones,Eleanor Fox
Tome of a Thousand Stars,Corey Devine
Voyage to Distant Atlas,Joyce Lawrence
Secrets Only Shadows Tell,Samir Patel
The Poet’s Mirror,Leslie Greene
Fragments of Faded Light,Will Garcia
Mariner’s Spellbook,Tina Suarez
The Bicycle Almanac,Casey Huang
Silence in the Willow Lane,Barry Cook
The Ruined Chapter,Anna Balston
Wonders in Sunlit Spring,Patrick Groves
Traveler by Starlight,Pamela Wu
Lost at Raven’s Hollow,Timothy Black
Library of Ghostly Voices,Leah Sato
Whisper of the Ashen Star,Claudia Moon
